name,frac,t_total_ms,t_cpu_ms,t_gpu_ms,checksum
3mm,0.0000,122.2914,121.8916,0.0000,inf
3mm,0.1000,110.4988,110.0676,0.5971,inf
3mm,0.2000,98.4120,97.9912,1.0107,inf
3mm,0.3000,84.1299,83.7638,1.4505,inf
3mm,0.4000,72.2936,71.9684,1.8803,inf
3mm,0.5000,61.6228,61.3680,2.2687,inf
3mm,0.6000,49.7203,49.4903,2.6864,inf
3mm,0.7000,37.4297,37.2624,3.0819,inf
3mm,0.8000,27.5633,23.8704,3.5105,inf
3mm,0.9000,16.8073,12.7154,3.9114,inf
3mm,1.0000,4.4033,0.0000,4.3043,inf
mlp,0.0000,10809.2666,10738.4544,0.0000,-nan
mlp,0.1000,9772.3100,9701.3739,12.4783,-nan
mlp,0.2000,8698.2684,8626.6141,24.3655,-nan
mlp,0.3000,7618.3575,7547.5310,36.2868,-nan
mlp,0.4000,6548.3232,6477.2184,66.7252,-nan
mlp,0.5000,5467.1181,5396.2881,78.3320,-nan
mlp,0.6000,4410.7330,4339.6485,85.1018,-nan
mlp,0.7000,3344.4338,3273.6363,93.3991,-nan
mlp,0.8000,2262.6112,2191.8122,102.5449,-nan
mlp,0.9000,1204.3506,1133.4976,112.1411,-nan
mlp,1.0000,188.1861,0.0000,107.8634,-nan
oha,0.0000,486.4031,486.4027,0.0000,2.51552e+19
oha,0.1000,437.9143,437.8443,1.4661,2.51552e+19
oha,0.2000,392.4937,392.4218,2.8479,2.51552e+19
oha,0.3000,346.4087,346.3461,4.1642,2.51552e+19
oha,0.4000,301.3519,301.2894,5.5179,2.51552e+19
oha,0.5000,261.2704,261.2023,6.8595,2.51552e+19
oha,0.6000,211.4542,211.3936,8.1917,2.51552e+19
oha,0.7000,166.1361,166.0863,9.5341,2.51552e+19
oha,0.8000,120.5924,120.5377,10.8419,2.51552e+19
oha,0.9000,75.3326,75.2845,12.1912,2.51552e+19
oha,1.0000,29.8500,16.2485,13.5133,2.51552e+19
cnn,0.0000,300.2001,299.9898,0.0000,330.579
cnn,0.1000,301.8775,301.4508,70.1145,330.579
cnn,0.2000,278.4879,278.0183,63.9314,330.579
cnn,0.3000,246.5935,246.0672,69.2469,330.579
cnn,0.4000,218.7712,218.1723,74.3188,330.579
cnn,0.5000,188.8630,188.1611,64.1499,330.579
cnn,0.6000,159.0056,158.2628,64.2426,330.579
cnn,0.7000,129.8155,128.9881,64.2979,330.579
cnn,0.8000,95.4301,94.5421,68.5926,330.579
cnn,0.9000,86.9961,44.4882,64.4062,330.579
cnn,1.0000,65.6040,0.7411,64.5628,330.579
adi,0.0000,820.2974,664.7663,0.0000,174.61
adi,0.1000,914.9743,589.8167,165.8246,174.61
adi,0.2000,874.2780,535.3457,180.4851,174.61
adi,0.3000,790.2202,462.6988,171.7479,174.61
adi,0.4000,748.2343,414.0602,175.3901,174.61
adi,0.5000,747.7491,425.8684,176.2237,174.61
adi,0.6000,613.3248,275.1731,179.8305,174.61
adi,0.7000,531.9036,201.8362,180.9380,174.61
adi,0.8000,468.4046,139.6321,181.0035,174.61
adi,0.9000,391.5467,65.0881,181.1469,174.61
adi,1.0000,323.9903,0.0000,181.3422,174.61
ced,0.0000,24.5397,20.2733,0.0000,35190
ced,0.1000,22.7665,18.2262,0.5329,35190
ced,0.2000,20.8885,16.3536,0.9533,35190
ced,0.3000,18.8630,14.2486,1.3806,35190
ced,0.4000,16.6653,12.1217,1.7847,35190
ced,0.5000,14.6585,10.1311,2.1962,35190
ced,0.6000,12.6730,8.1303,2.6062,35190
ced,0.7000,10.6224,6.1199,3.0215,35190
ced,0.8000,8.6143,4.1149,3.4321,35190
ced,0.9000,6.5230,2.0552,3.8459,35190
ced,1.0000,4.4298,0.0000,4.2606,35190
sbf,0.0000,5.2240,5.2236,0.0000,104609
sbf,0.1000,5.1482,4.7065,0.3241,104609
sbf,0.2000,4.9522,4.2192,0.6143,104609
sbf,0.3000,4.6786,3.6574,0.8898,104609
sbf,0.4000,4.3827,3.1056,1.1715,104609
sbf,0.5000,4.1317,2.5817,1.4457,104609
sbf,0.6000,3.8839,2.0684,1.7116,104609
sbf,0.7000,3.6483,1.5514,1.9941,104609
sbf,0.8000,3.4332,1.0564,2.2680,104609
sbf,0.9000,3.6506,1.0080,2.5462,104609
sbf,1.0000,2.9845,0.0000,2.8705,104609
opf,0.0000,328.6324,248.2160,0.0000,-0.00083955
opf,0.1000,302.7286,229.4840,8.4029,-0.00083955
opf,0.2000,277.6825,211.8918,16.4259,-0.00083955
opf,0.3000,253.0907,189.8065,24.4538,-0.00083955
opf,0.4000,228.5446,171.1207,32.4488,-0.00083955
opf,0.5000,204.7323,148.8310,40.4624,-0.00083955
opf,0.6000,180.7832,129.8123,48.5089,-0.00083955
opf,0.7000,157.0119,107.0293,63.5395,-0.00083955
opf,0.8000,133.5584,59.1633,64.5098,-0.00083955
opf,0.9000,108.6268,27.5197,72.4987,-0.00083955
opf,1.0000,80.9438,0.0000,80.5398,-0.00083955
spf,0.0000,653.4559,651.8168,0.0000,1.05146e+18
spf,0.1000,1558.4757,595.9461,583.0451,1.05146e+18
spf,0.2000,1522.5670,531.1516,572.9993,1.05146e+18
spf,0.3000,1509.7846,464.1732,580.2962,1.05146e+18
spf,0.4000,1545.3196,401.8463,585.5791,1.05146e+18
spf,0.5000,1569.5837,333.9727,591.3461,1.05146e+18
spf,0.6000,1578.7491,267.3247,589.0699,1.05146e+18
spf,0.7000,1552.7591,201.1339,597.7638,1.05146e+18
spf,0.8000,1588.3124,136.9368,593.3015,1.05146e+18
spf,0.9000,1559.1029,71.1697,581.7314,1.05146e+18
spf,1.0000,1579.6376,0.0000,596.5518,1.05146e+18
ppc,0.0000,674.4032,330.0339,0.0000,271.945
ppc,0.1000,648.6941,297.0790,1.4820,271.945
ppc,0.2000,616.2324,268.4957,2.4876,271.945
ppc,0.3000,591.7199,239.4783,3.6344,271.945
ppc,0.4000,557.5590,205.8622,4.7475,271.945
ppc,0.5000,530.3963,175.7352,5.9007,271.945
ppc,0.6000,501.4728,141.7190,7.0469,271.945
ppc,0.7000,471.2405,110.8319,8.1549,271.945
ppc,0.8000,440.5337,78.8459,9.2133,271.945
